Description;Vendor;Amount Paid;Type;Expense type (CF)
Conversion EUR to UZS;NBU OF UZBEKISTAN; (150 982 000);Cashbook;
Commission for participation in electronic trading;Uzbek Republican Commodity and Raw Materials Exchange;6 500 000;AP;Tenders' participation
Salary payment_Avajansky Anton;A&M;131 250 000;Payroll 1;Payroll
Bank fee for a payment order 1 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 1 in UZS;NBU OF UZBEKISTAN;32 500;Cashbook;
Cellular services;COSCOM LLC;175 000;AP;Telephone, internet
Work permit/ fees_Alexeychuk Maxim;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Balasanov Georgy;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Gorokhova Svetlana;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Zakharov Nikita;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Velikhanova;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Gabueva;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Nuretdinov Oleg;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Petelin Nikita;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Pyaterneva Nataliya;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Avazhanskaia Nadezhda;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Avajansky Anton;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Chumakova Zhanna;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Kachan;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Kuzmin;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Medvedev;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Starostin;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Toporov;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Kharchenko;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Andreicheva;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Ekidina Anastasiya;Public Services Center Yunusobod;243 000;AP;Work permits
Bank fee for a payment order 3 in UZS;NBU OF UZBEKISTAN;875;Cashbook;
Bank fee for a payment order 3 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 4 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 5 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 6 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 7 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 8 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 9 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 10 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 11 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 12 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 13 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 14 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 15 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 16 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 17 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 18 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 18 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 20 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 20 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 21 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 22 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Chuikov Egor;Public Services Center Yunusobod;243 000;AP;Work permits
Bank fee for a payment order 29 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 30 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Chumakov Anton;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Likhacheva Evgeniya;Public Services Center Yunusobod;243 000;AP;Work permits
Bank fee for a payment order 24 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Kinev Pavel;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Ponomareva Sofiya;Public Services Center Yunusobod;243 000;AP;Work permits
Work permit/ fees_Samutichev Evgenii;Public Services Center Yunusobod;243 000;AP;Work permits
Bank fee for a payment order 25 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 27 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
