Description,Vendor,Type,Expense type (CF)
Accounting services,Mazars Advisory LLC,AP,Accounting Services 
accounting services in July 2022,MAZARS ADVISORY LLC __ Ê,AP,Accounting Services 
accounting services in August 2022,MAZARS ADVISORY LLC __ Ê,AP,Accounting Services 
Consulting services,Schneider Group,AP,Accounting Services 
accounting services in October 2022,MAZARS ADVISORY LLC __ Ê,AP,Accounting Services 
bank token,KDB Bank Uzbekistan,AP,Accounting Services 
Delivery services,BTS Express Cargo Services,AP,All other
courier services,BTS Express Cargo Services,AP,All other
Printing for presentation outside,KHK PRINTUZ,AP,All other
Conversion EUR to UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 7 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 8 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 9 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 10 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 11 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 12 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 13 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 14 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 15 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 16 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 17 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 18 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 20 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 21 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 22 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 29 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 30 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 24 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 25 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 27 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 28 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 26 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from UZS account to Corp Card,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 36 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 37 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 41 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 42 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 44 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 49 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 45 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 47 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 46 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 50 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 43 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 48 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 51 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Funding from UZS account ,NBU OF UZBEKISTAN,Cashbook,Cashbook
Loan from A&M,Alvarez & Marsal Europe Holdings Limited,AP,Cashbook
_onversion EUR to UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 61 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 57 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 56 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 55 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 58 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 59 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 53 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 52 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 54 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 60 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 62 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 65 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 64 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 63 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 66 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from Corp Card account to UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 67 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 70 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 72 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 69 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 68 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 71 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 73 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 74 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank services,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 77 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 75 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 78 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
