,Description,Vendor,Type,Expense type (CF),Category_ML
0,Accounting services,Mazars Advisory LLC,AP,Accounting Services ,Business Development 
1,accounting services in July 2022,MAZARS ADVISORY LLC АО  ,AP,Accounting Services ,Business Development 
2,accounting services in August 2022,MAZARS ADVISORY LLC АО  ,AP,Accounting Services ,Business Development 
3,Consulting services,Schneider Group,AP,Accounting Services ,Business Development 
4,accounting services in October 2022,MAZARS ADVISORY LLC АО  ,AP,Accounting Services ,Business Development 
5,bank token,KDB Bank Uzbekistan,AP,Accounting Services ,Business Development 
6,Delivery services,BTS Express Cargo Services,AP,All other,Business Development 
7,courier services,BTS Express Cargo Services,AP,All other,Business Development 
8,Printing for presentation outside,KHK PRINTUZ,AP,All other,Business Development 
9,Conversion EUR to UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
10,Bank fee for a payment order 1 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
11,Bank fee for a payment order 3 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
12,Bank fee for a payment order 4 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
13,Bank fee for a payment order 5 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
14,Bank fee for a payment order 6 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
15,Bank fee for a payment order 7 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
16,Bank fee for a payment order 8 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
17,Bank fee for a payment order 9 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
18,Bank fee for a payment order 10 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
19,Bank fee for a payment order 11 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
20,Bank fee for a payment order 12 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
21,Bank fee for a payment order 13 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
22,Bank fee for a payment order 14 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
23,Bank fee for a payment order 15 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
24,Bank fee for a payment order 16 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
25,Bank fee for a payment order 17 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
26,Bank fee for a payment order 18 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
27,Bank fee for a payment order 20 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
28,Bank fee for a payment order 21 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
29,Bank fee for a payment order 22 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
